match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Wilson Isidor,NA,NA,0.5,3.9,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Cristian Romero,Tottenham Hotspur,Sunderland AFC,0.5,7.5,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Archie Gray,Tottenham Hotspur,Sunderland AFC,0.5,8,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Simon Adingra,NA,NA,0.5,6.5,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Mathys Tel,Tottenham Hotspur,Sunderland AFC,0.5,3.8,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Enzo Le Fee,NA,NA,0.5,7,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Eliezer Mayenda,NA,NA,0.5,4.4,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Omar Alderete,NA,NA,0.5,17,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Randal Kolo Muani,NA,NA,0.5,3.8,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Djed Spence,Tottenham Hotspur,Sunderland AFC,0.5,17,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Callum Olusesi,NA,NA,0.5,6.5,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Lucas Bergvall,Tottenham Hotspur,Sunderland AFC,0.5,6,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Jaydon Jones,NA,NA,0.5,15,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Luke O'Nien,NA,NA,0.5,23,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Dennis Cirkin,NA,NA,0.5,23,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Lutsharel Geertruida,NA,NA,0.5,13,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Micky van de Ven,Tottenham Hotspur,Sunderland AFC,0.5,7,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Wilson Odobert,Tottenham Hotspur,Sunderland AFC,0.5,5.25,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Harrison Jones,NA,NA,0.5,9.5,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Jack Whittaker,NA,NA,0.5,9,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Jenson Jones,NA,NA,0.5,34,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Ian Poveda,NA,NA,0.5,8,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Daniel Ballard,NA,NA,0.5,9,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Romaine Mundle,NA,NA,0.5,6.5,Neds
Tottenham Hotspur v Sunderland AFC,Tottenham Hotspur,Sunderland AFC,Player Goals,Mohammed Kudus,Tottenham Hotspur,Sunderland AFC,0.5,4.75,Neds
